N,P,t_serial,t_parallel,speedup,efficiency,pi
1000000,1,1.153062600000e-02,1.047562900000e-02,1.100710,1.100710,3.141592653589764
1000000,2,5.965908000000e-03,3.149883000000e-03,1.894009,0.947005,3.141592653589899
1000000,4,5.895874000000e-03,1.987836000000e-03,2.965976,0.741494,3.141592653589875
1000000,8,1.628854600000e-02,4.266298000000e-03,3.817958,0.477245,3.141592653589871
10000000,1,1.081858630000e-01,8.224921000000e-02,1.315342,1.315342,3.141592653589731
10000000,2,5.726661300000e-02,3.812273500000e-02,1.502164,0.751082,3.141592653589923
10000000,4,7.158420800000e-02,2.760749200000e-02,2.592927,0.648232,3.141592653589670
10000000,8,4.902362400000e-02,1.770605300000e-02,2.768749,0.346094,3.141592653589804
100000000,1,5.461325260000e-01,4.646081260000e-01,1.175469,1.175469,3.141592653590426
100000000,2,5.402603090000e-01,3.511133010000e-01,1.538706,0.769353,3.141592653589910
100000000,4,3.659076280000e-01,1.959435490000e-01,1.867413,0.466853,3.141592653589683
100000000,8,3.745980720000e-01,1.157798640000e-01,3.235434,0.404429,3.141592653589816
